Adobe(12): 1      Two Sum,29.8%,Easy
Microsoft(83): 23,Merge k Sorted Lists,25.9%,Hard
Microsoft(83): 24,Swap Nodes in Pairs,37.1%,Easy
Microsoft(83): 25,Reverse Nodes in k-Group,29.7%,Hard
Microsoft(83): 26,Remove Duplicates from Sorted Array,35.3%,Easy
Microsoft(83): 28,Implement strStr(),26.9%,Easy
Microsoft(83): 33,Search in Rotated Sorted Array,31.9%,Hard
Microsoft(83): 46,Permutations,40.3%,Medium
Microsoft(83): 47,Permutations II,30.9%,Medium
Microsoft(83): 48,Rotate Image,37.1%,Medium
Microsoft(83): 53,Maximum Subarray,38.7%,Medium
Microsoft(83): 54,Spiral Matrix,24.5%,Medium
Microsoft(83): 55,Jump Game,29.2%,Medium
Microsoft(83): 56,Merge Intervals,28.3%,Hard
Microsoft(83): 71,Simplify Path,24.0%,Medium
Microsoft(83): 73,Set Matrix Zeroes,35.1%,Medium
Microsoft(83): 75,Sort Colors,36.6%,Medium
Microsoft(83): 79,Word Search,25.3%,Medium
Microsoft(83): 88,Merge Sorted Array,31.4%,Easy
Microsoft(83): 91,Decode Ways,18.8%,Medium
Microsoft(83): 94,Binary Tree Inorder Traversal,43.7%,Medium
Microsoft(83): 98,Validate Binary Search Tree,22.3%,Medium
Microsoft(83): 101,Symmetric Tree,36.9%,Easy
Microsoft(83): 102,Binary Tree Level Order Traversal,36.9%,Easy
Microsoft(83): 103,Binary Tree Zigzag Level Order Traversal,32.2%,Medium
Microsoft(83): 106,Construct Binary Tree from Inorder and Postorder Traversal,30.9%,Medium
Microsoft(83): 112,Path Sum,32.9%,Easy
Microsoft(83): 114,Flatten Binary Tree to Linked List,33.5%,Medium
Microsoft(83): 116,Populating Next Right Pointers in Each Node,36.8%,Medium
Microsoft(83): 117,Populating Next Right Pointers in Each Node II,33.5%,Hard
Microsoft(83): 121,Best Time to Buy and Sell Stock,39.1%,Easy
Microsoft(83): 124,Binary Tree Maximum Path Sum,25.0%,Hard
Microsoft(83): 125,Valid Palindrome,25.3%,Easy
Microsoft(83): 138,Copy List with Random Pointer,26.6%,Hard
Microsoft(83): 141,Linked List Cycle,35.8%,Easy
Microsoft(83): 146,LRU Cache,16.0%,Hard
Microsoft(83): 151,Reverse Words in a String,15.7%,Medium
Microsoft(83): 153,Find Minimum in Rotated Sorted Array,38.6%,Medium
Microsoft(83): 160,Intersection of Two Linked Lists,30.0%,Easy
Microsoft(83): 162,Find Peak Element,35.8%,Medium
Microsoft(83): 165,Compare Version Numbers,19.2%,Easy
Microsoft(83): 168,Excel Sheet Column Title,24.4%,Easy
Microsoft(83): 171,Excel Sheet Column Number,45.2%,Easy
Microsoft(83): 173,Binary Search Tree Iterator,38.9%,Medium
Microsoft(83): 174,Dungeon Game,22.8%,Hard
Microsoft(83): 186,Reverse Words in a String II, 28.5%,Medium
Microsoft(83): 189,Rotate Array,23.5%,Easy
Microsoft(83): 191,Number of 1 Bits,38.5%,Easy
Microsoft(83): 200,Number of Islands,32.2%,Medium
Microsoft(83): 204,Count Primes,26.1%,Easy
Microsoft(83): 206,Reverse Linked List,43.4%,Easy
Microsoft(83): 208,Implement Trie (Prefix Tree),25.6%,Medium
Microsoft(83): 212,Word Search II,22.2%,Hard
Microsoft(83): 213,House Robber II,33.0%,Medium
Microsoft(83): 215,Kth Largest Element in an Array,37.4%,Medium
Microsoft(83): 218,The Skyline Problem,25.5%,Hard
Microsoft(83): 232,Implement Queue using Stacks,34.9%,Easy
Microsoft(83): 235,Lowest Common Ancestor of a Binary Search Tree,38.1%,Easy
Microsoft(83): 236,Lowest Common Ancestor of a Binary Tree,29.3%,Medium
Microsoft(83): 237,Delete Node in a Linked List,45.4%,Easy
Microsoft(83): 238,Product of Array Except Self,47.0%,Medium
Microsoft(83): 258,Add Digits,50.2%,Easy
Microsoft(83): 268,Missing Number,43.5%,Medium
Microsoft(83): 270,Closest Binary Search Tree Value, 38.0%,Easy
Microsoft(83): 273,Integer to English Words,21.0%,Hard
Microsoft(83): 285,Inorder Successor in BST, 36.2%,Medium
Microsoft(83): 297,Serialize and Deserialize Binary Tree,31.5%,Hard
Microsoft(83): 300,Longest Increasing Subsequence,37.3%,Medium
Microsoft(83): 333,Largest BST Subtree, 29.8%,Medium
Microsoft(83): 348,Design Tic-Tac-Toe, 45.2%,Medium
Microsoft(83): 365,Water and Jug Problem,26.0%,Medium
Microsoft(83): 387,First Unique Character in a String,45.3%,Easy
Microsoft(83): 419,Battleships in a Board,60.3%,Medium
Microsoft(83): 445,Add Two Numbers II,46.2%,Medium
Microsoft(83): 452,Minimum Number of Arrows to Burst Balloons,42.1%,Medium


Palantir(7): 136,Single Number,49.6%,Medium
Palantir(7): 146,LRU Cache,15.8%,Hard
Palantir(7): 217,Contains Duplicate,41.1%,Easy
Palantir(7): 219,Contains Duplicate II,29.9%,Easy
Palantir(7): 220,Contains Duplicate III,18.5%,Medium
Palantir(7): 303,Range Sum Query - Immutable,24.4%,Easy
Palantir(7): 325,Maximum Size Subarray Sum Equals k, 39.9%,Easy


PocketGems(12): 28,Implement strStr(),26.9%,Easy
PocketGems(12): 75,Sort Colors,36.6%,Medium
PocketGems(12): 133,Clone Graph,25.0%,Medium
PocketGems(12): 139,Word Break,28.2%,Medium
PocketGems(12): 214,Shortest Palindrome,22.9%,Hard
PocketGems(12): 215,Kth Largest Element in an Array,37.4%,Medium
PocketGems(12): 269,Alien Dictionary, 22.4%,Hard
PocketGems(12): 285,Inorder Successor in BST, 36.1%,Medium
PocketGems(12): 347,Top K Frequent Elements,45.9%,Medium
PocketGems(12): 380,Insert Delete GetRandom O(1),38.3%,Hard
PocketGems(12): 424,Longest Repeating Character Replacement,40.1%,Medium
PocketGems(12): 442,Find All Duplicates in an Array,47.3%,Medium


Snapchat(24): 36,Valid Sudoku,33.8%,Easy
Snapchat(24): 37,Sudoku Solver,28.1%,Hard
Snapchat(24): 39,Combination Sum,35.7%,Medium
Snapchat(24): 40,Combination Sum II,31.3%,Medium
Snapchat(24): 44,Wildcard Matching,19.0%,Hard
Snapchat(24): 76,Minimum Window Substring,23.8%,Hard
Snapchat(24): 96,Unique Binary Search Trees,39.8%,Medium
Snapchat(24): 127,Word Ladder,19.3%,Medium
Snapchat(24): 140,Word Break II,22.2%,Hard
Snapchat(24): 146,LRU Cache,16.0%,Hard
Snapchat(24): 151,Reverse Words in a String,15.7%,Medium
Snapchat(24): 155,Min Stack,26.2%,Easy
Snapchat(24): 161,One Edit Distance, 30.5%,Medium
Snapchat(24): 206,Reverse Linked List,43.4%,Easy
Snapchat(24): 253,Meeting Rooms II, 38.2%,Medium
Snapchat(24): 269,Alien Dictionary, 22.4%,Hard
Snapchat(24): 270,Closest Binary Search Tree Value, 38.0%,Easy
Snapchat(24): 289,Game of Life,36.3%,Medium
Snapchat(24): 312,Burst Balloons,41.6%,Hard
Snapchat(24): 314,Binary Tree Vertical Order Traversal, 35.3%  Medium
Snapchat(24): 377,Combination Sum IV,41.6%,Medium
Snapchat(24): 402,Remove K Digits,26.1%,Medium
Snapchat(24): 403,Frog Jump,30.8%,Hard
Snapchat(24): 439,Ternary Expression Parser, 49.9%,Medium


Twitter(30): 10,Regular Expression Matching,23.5%,Hard
Twitter(30): 12,Integer to Roman,42.7%,Medium
Twitter(30): 20,Valid Parentheses,32.1%,Easy
Twitter(30): 23,Merge k Sorted Lists,25.9%,Hard
Twitter(30): 42,Trapping Rain Water,35.3%,Hard
Twitter(30): 43,Multiply Strings,25.9%,Medium
Twitter(30): 44,Wildcard Matching,19.0%,Hard
Twitter(30): 56,Merge Intervals,28.3%,Hard
Twitter(30): 60,Permutation Sequence,27.1%,Medium
Twitter(30): 118,Pascal's Triangle,36.6%,Easy
Twitter(30): 140,Word Break II,22.2%,Hard
Twitter(30): 146,LRU Cache,16.0%,Hard
Twitter(30): 149,Max Points on a Line,15.5%,Hard
Twitter(30): 161,One Edit Distance, 30.5%,Medium
Twitter(30): 202,Happy Number,39.2%,Easy
Twitter(30): 206,Reverse Linked List,43.4%,Easy
Twitter(30): 208,Implement Trie (Prefix Tree),25.6%,Medium
Twitter(30): 218,The Skyline Problem,25.5%,Hard
Twitter(30): 235,Lowest Common Ancestor of a Binary Search Tree,38.1%,Easy
Twitter(30): 251,Flatten 2D Vector, 38.7%,Medium
Twitter(30): 269,Alien Dictionary, 22.4%,Hard
Twitter(30): 296,Best Meeting Point, 50.3%,Hard
Twitter(30): 323,Number of Connected Components in an Undirected Graph, 46.6%,Medium
Twitter(30): 341,Flatten Nested List Iterator,38.6%,Medium
Twitter(30): 355,Design Twitter,24.5%,Medium
Twitter(30): 378,Kth Smallest Element in a Sorted Matrix,43.3%,Medium
Twitter(30): 380,Insert Delete GetRandom O(1),38.4%,Hard
Twitter(30): 407,Trapping Rain Water II,35.5%,Hard
Twitter(30): 433,Minimum Genetic Mutation,32.9%,Medium
Twitter(30): 468,Validate IP Address,22.0%,Medium


Uber(46): 1,Two Sum,29.8%,Easy
Uber(46): 8,String to Integer (atoi),13.8%,Easy
Uber(46): 10,Regular Expression Matching,23.5%,Hard
Uber(46): 13,Roman to Integer,43.4%,Easy
Uber(46): 17,Letter Combinations of a Phone Number,32.4%,Medium
Uber(46): 22,Generate Parentheses,41.8%,Medium
Uber(46): 23,Merge k Sorted Lists,25.9%,Hard
Uber(46): 24,Swap Nodes in Pairs,37.1%,Easy
Uber(46): 33,Search in Rotated Sorted Array,31.9%,Hard
Uber(46): 36,Valid Sudoku,33.8%,Easy
Uber(46): 37,Sudoku Solver,28.1%,Hard
Uber(46): 39,Combination Sum,35.7%,Medium
Uber(46): 49,Group Anagrams,31.8%,Medium
Uber(46): 54,Spiral Matrix,24.5%,Medium
Uber(46): 76,Minimum Window Substring,23.8%,Hard
Uber(46): 78,Subsets,36.6%,Medium
Uber(46): 91,Decode Ways,18.8%,Medium
Uber(46): 104,Maximum Depth of Binary Tree,50.8%,Easy
Uber(46): 121,Best Time to Buy and Sell Stock,39.1%,Easy
Uber(46): 125,Valid Palindrome,25.3%,Easy
Uber(46): 133,Clone Graph,25.0%,Medium
Uber(46): 138,Copy List with Random Pointer,26.6%,Hard
Uber(46): 139,Word Break,28.2%,Medium
Uber(46): 140,Word Break II,22.2%,Hard
Uber(46): 146,LRU Cache,16.0%,Hard
Uber(46): 155,Min Stack,26.2%,Easy
Uber(46): 161,One Edit Distance, 30.5%,Medium
Uber(46): 171,Excel Sheet Column Number,45.2%,Easy
Uber(46): 186,Reverse Words in a String II, 28.5%,Medium
Uber(46): 202,Happy Number,39.2%,Easy
Uber(46): 206,Reverse Linked List,43.4%,Easy
Uber(46): 208,Implement Trie (Prefix Tree),25.6%,Medium
Uber(46): 230,Kth Smallest Element in a BST,42.0%,Medium
Uber(46): 242,Valid Anagram,44.8%,Easy
Uber(46): 249,Group Shifted Strings, 38.7%,Easy
Uber(46): 254,Factor Combinations, 40.4%,Medium
Uber(46): 262,Trips and Users,15.7%,Hard
Uber(46): 266,Palindrome Permutation, 55.1%,Easy
Uber(46): 290,Word Pattern,32.0%,Easy
Uber(46): 291,Word Pattern II, 37.6%,Hard
Uber(46): 297,Serialize and Deserialize Binary Tree,31.5%,Hard
Uber(46): 337,House Robber III,41.4%,Medium
Uber(46): 373,Find K Pairs with Smallest Sums,29.8%,Medium
Uber(46): 380,Insert Delete GetRandom O(1),38.3%,Hard
Uber(46): 432,All O`one Data Structure,28.3%,Hard
Uber(46): 450,Delete Node in a BST,34.7%,Medium


Yahoo(12): 1,Two Sum,29.8%,Easy
Yahoo(12): 4,Median of Two Sorted Arrays,20.8%,Hard
Yahoo(12): 13,Roman to Integer,43.4%,Easy
Yahoo(12): 104,Maximum Depth of Binary Tree,50.8%,Easy
Yahoo(12): 139,Word Break,28.2%,Medium
Yahoo(12): 141,Linked List Cycle,35.8%,Easy
Yahoo(12): 146,LRU Cache,16.0%,Hard
Yahoo(12): 206,Reverse Linked List,43.4%,Easy
Yahoo(12): 217,Contains Duplicate,43.6%,Easy
Yahoo(12): 284,Peeking Iterator,35.1%,Medium
Yahoo(12): 297,Serialize and Deserialize Binary Tree,31.5%,Hard
Yahoo(12): 479,Largest Palindrome Product,23.3%,Easy


Yelp(15): 1,Two Sum,29.8%,Easy
Yelp(15): 3,Longest Substring Without Repeating Characters,23.7%,Medium
Yelp(15): 14,Longest Common Prefix,30.5%,Easy
Yelp(15): 49,Group Anagrams,31.8%,Medium
Yelp(15): 56,Merge Intervals,28.3%,Hard
Yelp(15): 126,Word Ladder II,13.6%,Hard
Yelp(15): 127,Word Ladder,19.3%,Medium
Yelp(15): 151,Reverse Words in a String,15.7%,Medium
Yelp(15): 206,Reverse Linked List,43.4%,Easy
Yelp(15): 207,Course Schedule,30.4%,Medium
Yelp(15): 218,The Skyline Problem,25.5%,Hard
Yelp(15): 242,Valid Anagram,44.8%,Easy
Yelp(15): 347,Top K Frequent Elements,45.9%,Medium
Yelp(15): 380,Insert Delete GetRandom O(1),38.3%,Hard
Yelp(15): 381,Insert Delete GetRandom O(1) - Duplicates allowed,28.0%,Hard


Zenefit(21): 4,Median of Two Sorted Arrays,20.8%,Hard
Zenefit(21): 20,Valid Parentheses,32.1%,Easy
Zenefit(21): 22,Generate Parentheses,41.8%,Medium
Zenefit(21): 42,Trapping Rain Water,35.3%,Hard
Zenefit(21): 52,N-Queens II,42.8%,Hard
Zenefit(21): 109,Convert Sorted List to Binary Search Tree,32.7%,Medium
Zenefit(21): 125,Valid Palindrome,25.3%,Easy
Zenefit(21): 146,LRU Cache,16.0%,Hard
Zenefit(21): 155,Min Stack,26.2%,Easy
Zenefit(21): 168,Excel Sheet Column Title,24.4%,Easy
Zenefit(21): 169,Majority Element,44.8%,Easy
Zenefit(21): 200,Number of Islands,32.2%,Medium
Zenefit(21): 206,Reverse Linked List,43.4%,Easy
Zenefit(21): 207,Course Schedule,30.4%,Medium
Zenefit(21): 210,Course Schedule II,25.6%,Medium
Zenefit(21): 229,Majority Element II,27.7%,Medium
Zenefit(21): 239,Sliding Window Maximum,31.4%,Hard
Zenefit(21): 251,Flatten 2D Vector, 38.7%,Medium
Zenefit(21): 255,Verify Preorder Sequence in Binary Search Tree, 38.9%,Medium
Zenefit(21): 261,Graph Valid Tree, 36.5%,Medium
Zenefit(21): 317,Shortest Distance from All Buildings, 33.2%,Hard


